,cond,dist_newX,X,Y
0,0.0,0.0,0.0,0.0
0,0.5043874462200318,4.42114355791227,1.5244782961621737,4.149997142673672
0,0.597147024538788,4.4007994551841545,4.2958259680439035,0.9554659057385604
0,0.7313604340897193,4.326040260683924,1.1663775782910113,4.165835772317271
0,0.6769186828737848,4.262302457407094,4.131881939203396,1.0463144264050532
0,0.6871412434025972,4.187265026058078,1.3341847140659246,3.9690224926550854
0,0.6065278713680462,4.0748244178795545,3.849302991614126,1.33680982764864
0,0.570866944352185,3.924278522209451,1.5439209123096824,3.607806831914263
0,0.4830000495435508,3.7819980561048165,3.309775040652092,1.8299995837860334
0,0.3326261201633325,3.678614231903573,2.155180579193658,2.9811741542939085
0,0.18202459488560585,3.635897436015377,2.703412031770563,2.4313193027040585
0,0.05427112744743945,3.6307011559232847,2.549798891467838,2.5846695140176164
0,0.008104568813021684,3.6305811979100957,2.5709284394481755,2.5634833320805646
